ris,bibtex
A1 ,author
A2 ,author
A3 ,author
A4 ,author
AB ,abstract
AU ,author
CT ,title
CY ,location
DA ,date
DO ,doi
ED ,editor
ID ,refid
IS ,issue
JF ,journal
JO ,journaltitle
KW ,keywords
L1 ,file
L2 ,url
L4 ,file
LK ,url
M1 ,number
N1 ,comments
N2 ,abstract
NV ,volumes
PB ,publisher
PP ,address
PY ,year
SN ,isbn
T1 ,maintitle
TI ,title
TY ,bib_type
UR ,url
VL ,volume
Y1 ,date
Y2 ,urldate
