ris,bibtex
BOOK,book
CHAP,incollection
CONF,proceedings
CPAPER,inproceedings
EBOOK,book
ECHAP,incollection
EDBOOK,book
EJOUR,article
GEN,misc
ICOMM,online
INPR,unpublished
MANSCPT,unpublished
MGZN,article
MULTI,online
NEWS,periodical
PAT,patent
RPRT,report
THES,thesis
UNPB,unpublished
WEB,online
